state,year,week,incidence
Johor,2014,46,1
Johor,2014,47,1
Johor,2014,48,1
Johor,2014,49,1
Johor,2014,50,0
Johor,2014,51,1
Johor,2014,52,1
Johor,2014,53,1
Johor,2015,1,1
Johor,2015,2,0
Johor,2015,3,1
Johor,2015,4,0
Johor,2015,5,0
Johor,2015,6,0
Johor,2015,7,0
Johor,2015,8,0
Johor,2015,9,1
Johor,2015,10,0
Johor,2015,11,0
Johor,2015,12,0
Johor,2015,13,2
Johor,2015,14,1
Johor,2015,15,0
Johor,2015,16,1
Johor,2015,17,0
Johor,2015,18,1
Johor,2015,19,1
Johor,2015,20,0
Johor,2015,21,0
Johor,2015,22,1
Johor,2015,23,2
Johor,2015,24,1
Johor,2015,25,0
Johor,2015,26,1
Johor,2015,27,3
Johor,2015,28,0
Johor,2015,29,4
Johor,2015,30,3
Johor,2015,31,0
Johor,2015,32,2
Johor,2015,33,0
Johor,2015,34,1
Johor,2015,35,4
Johor,2015,36,2
Johor,2015,37,4
Johor,2015,38,1
Johor,2015,39,2
Johor,2015,40,0
Johor,2015,41,1
Johor,2015,42,1
Johor,2015,43,2
Johor,2015,44,1
Johor,2015,45,1
Johor,2015,46,1
Johor,2015,47,1
Johor,2015,48,2
Johor,2015,49,0
Johor,2015,50,1
Johor,2015,51,3
Johor,2015,52,6
Johor,2016,1,0
Johor,2016,2,0
Johor,2016,3,2
Johor,2016,4,1
Johor,2016,5,0
Johor,2016,6,1
Johor,2016,7,1
Johor,2016,8,1
Johor,2016,9,3
Johor,2016,10,0
Johor,2016,11,2
Johor,2016,12,0
Johor,2016,13,0
Johor,2016,14,0
Johor,2016,15,2
Johor,2016,16,0
Johor,2016,17,0
Johor,2016,18,0
Johor,2016,19,0
Johor,2016,20,0
Johor,2016,21,0
Johor,2016,22,0
Johor,2016,23,1
Johor,2016,24,0
Johor,2016,25,0
Johor,2016,26,1
Johor,2016,27,1
Johor,2016,28,0
Johor,2016,29,0
Johor,2016,30,0
Johor,2016,31,0
Johor,2016,32,0
Johor,2016,33,1
Johor,2016,34,1
Johor,2016,35,1
Johor,2016,36,0
Johor,2016,37,0
Johor,2016,38,1
Johor,2016,39,1
Johor,2016,40,2
Johor,2016,41,0
Johor,2016,42,0
Johor,2016,43,1
Johor,2016,44,2
Johor,2016,45,0
Johor,2016,46,0
Johor,2016,47,1
Johor,2016,48,0
Johor,2016,49,0
Johor,2016,50,0
Johor,2016,51,0
Johor,2016,52,1
Johor,2017,1,0
Johor,2017,2,1
Johor,2017,3,1
Johor,2017,4,0
Johor,2017,5,0
Johor,2017,6,2
Johor,2017,7,1
Johor,2017,8,0
Johor,2017,9,0
Johor,2017,10,1
Johor,2017,11,0
Johor,2017,12,0
Johor,2017,13,0
Johor,2017,14,3
Johor,2017,15,0
Johor,2017,16,1
Johor,2017,17,1
Johor,2017,18,1
Johor,2017,19,0
Johor,2017,20,0
Johor,2017,21,0
Johor,2017,22,0
Johor,2017,23,1
Johor,2017,24,0
Johor,2017,25,0
Johor,2017,26,0
Johor,2017,27,0
