state,year,week,incidence
Kedah,2014,41,7
Kedah,2014,42,21
Kedah,2014,43,41
Kedah,2014,44,34
Kedah,2014,45,24
Kedah,2014,46,42
Kedah,2014,47,27
Kedah,2014,48,17
Kedah,2014,49,14
Kedah,2014,50,31
Kedah,2014,51,27
Kedah,2014,52,23
Kedah,2014,53,51
Kedah,2015,1,10
Kedah,2015,2,20
Kedah,2015,3,14
Kedah,2015,4,36
Kedah,2015,5,15
Kedah,2015,6,29
Kedah,2015,7,11
Kedah,2015,8,22
Kedah,2015,9,23
Kedah,2015,10,35
Kedah,2015,11,24
Kedah,2015,12,21
Kedah,2015,13,34
Kedah,2015,14,35
Kedah,2015,15,30
Kedah,2015,16,22
Kedah,2015,17,41
Kedah,2015,18,16
Kedah,2015,19,34
Kedah,2015,20,23
Kedah,2015,21,11
Kedah,2015,22,17
Kedah,2015,23,18
Kedah,2015,24,22
Kedah,2015,25,32
Kedah,2015,26,23
Kedah,2015,27,38
Kedah,2015,28,27
Kedah,2015,29,10
Kedah,2015,30,20
Kedah,2015,31,30
Kedah,2015,32,28
Kedah,2015,33,21
Kedah,2015,34,28
Kedah,2015,35,25
Kedah,2015,36,32
Kedah,2015,37,33
Kedah,2015,38,13
Kedah,2015,39,23
Kedah,2015,40,23
Kedah,2015,41,17
Kedah,2015,42,27
Kedah,2015,43,35
Kedah,2015,44,30
Kedah,2015,45,27
Kedah,2015,46,27
Kedah,2015,47,24
Kedah,2015,48,23
Kedah,2015,49,12
Kedah,2015,50,14
Kedah,2015,51,37
Kedah,2015,52,37
Kedah,2016,1,13
Kedah,2016,2,32
Kedah,2016,3,16
Kedah,2016,4,24
Kedah,2016,5,30
Kedah,2016,6,21
Kedah,2016,7,29
Kedah,2016,8,23
Kedah,2016,9,24
Kedah,2016,10,19
Kedah,2016,11,30
Kedah,2016,12,29
Kedah,2016,13,20
Kedah,2016,14,20
Kedah,2016,15,28
Kedah,2016,16,25
Kedah,2016,17,17
Kedah,2016,18,16
Kedah,2016,19,25
Kedah,2016,20,39
Kedah,2016,21,31
Kedah,2016,22,27
Kedah,2016,23,24
Kedah,2016,24,23
Kedah,2016,25,20
Kedah,2016,26,27
Kedah,2016,27,25
Kedah,2016,28,16
Kedah,2016,29,26
Kedah,2016,30,20
Kedah,2016,31,21
Kedah,2016,32,30
Kedah,2016,33,23
Kedah,2016,34,25
Kedah,2016,35,15
Kedah,2016,36,27
Kedah,2016,37,19
Kedah,2016,38,15
Kedah,2016,39,31
Kedah,2016,40,19
Kedah,2016,41,29
Kedah,2016,42,28
Kedah,2016,43,25
Kedah,2016,44,15
Kedah,2016,45,24
Kedah,2016,46,42
Kedah,2016,47,33
Kedah,2016,48,19
Kedah,2016,49,38
Kedah,2016,50,24
Kedah,2016,51,24
Kedah,2016,52,38
Kedah,2017,1,14
Kedah,2017,2,19
Kedah,2017,3,24
Kedah,2017,4,24
Kedah,2017,5,22
Kedah,2017,6,22
Kedah,2017,7,26
Kedah,2017,8,30
Kedah,2017,9,26
Kedah,2017,10,32
Kedah,2017,11,24
Kedah,2017,12,37
Kedah,2017,13,22
Kedah,2017,14,34
Kedah,2017,15,35
Kedah,2017,16,30
Kedah,2017,17,18
Kedah,2017,18,29
Kedah,2017,19,30
Kedah,2017,20,32
Kedah,2017,21,28
Kedah,2017,22,18
Kedah,2017,23,48
Kedah,2017,24,36
Kedah,2017,25,35
Kedah,2017,26,4
Kedah,2017,27,39
Kedah,2017,28,26
Kedah,2017,29,22
Kedah,2017,30,30
Kedah,2017,31,20
Kedah,2017,32,30
Kedah,2017,33,25
Kedah,2017,34,25
Kedah,2017,35,19
Kedah,2017,36,28
Kedah,2017,37,33
Kedah,2017,38,19
Kedah,2017,39,42
Kedah,2017,40,15
Kedah,2017,41,23
Kedah,2017,42,26
Kedah,2017,43,33
Kedah,2017,44,21
Kedah,2017,45,21
Kedah,2017,46,41
Kedah,2017,47,31
Kedah,2017,48,24
Kedah,2017,49,35
Kedah,2017,50,32
Kedah,2017,51,17
Kedah,2017,52,41
Kelantan,2014,1,16
Kelantan,2014,2,46
Kelantan,2014,3,34
Kelantan,2014,4,35
Kelantan,2014,5,43
Kelantan,2014,6,18
Kelantan,2014,7,33
Kelantan,2014,8,27
Kelantan,2014,9,28
Kelantan,2014,10,33
Kelantan,2014,11,24
Kelantan,2014,12,26
Kelantan,2014,13,27
Kelantan,2014,14,33
Kelantan,2014,15,37
Kelantan,2014,16,29
Kelantan,2014,17,27
Kelantan,2014,18,10
Kelantan,2014,19,23
Kelantan,2014,20,26
Kelantan,2014,21,24
Kelantan,2014,22,26
Kelantan,2014,23,26
Kelantan,2014,24,28
Kelantan,2014,25,23
Kelantan,2014,26,19
Kelantan,2014,27,19
Kelantan,2014,28,35
Kelantan,2014,29,21
Kelantan,2014,30,29
Kelantan,2014,31,9
Kelantan,2014,32,14
Kelantan,2014,33,27
Kelantan,2014,34,19
Kelantan,2014,35,31
Kelantan,2014,36,41
Kelantan,2014,37,26
Kelantan,2014,38,12
Kelantan,2014,39,29
Kelantan,2014,40,27
Kelantan,2014,41,17
Kelantan,2014,42,14
Kelantan,2014,43,13
Kelantan,2014,44,24
Kelantan,2014,45,44
Kelantan,2014,46,23
Kelantan,2014,47,28
Kelantan,2014,48,35
Kelantan,2014,49,19
Kelantan,2014,50,40
Kelantan,2014,51,20
Kelantan,2014,52,14
Kelantan,2014,53,15
Kelantan,2015,1,11
Kelantan,2015,2,34
Kelantan,2015,3,28
Kelantan,2015,4,31
Kelantan,2015,5,20
Kelantan,2015,6,30
Kelantan,2015,7,25
Kelantan,2015,8,27
Kelantan,2015,9,23
Kelantan,2015,10,20
Kelantan,2015,11,22
Kelantan,2015,12,19
Kelantan,2015,13,27
Kelantan,2015,14,41
Kelantan,2015,15,28
Kelantan,2015,16,26
Kelantan,2015,17,20
Kelantan,2015,18,27
Kelantan,2015,19,25
Kelantan,2015,20,19
Kelantan,2015,21,19
Kelantan,2015,22,15
Kelantan,2015,23,15
Kelantan,2015,24,19
Kelantan,2015,25,32
Kelantan,2015,26,37
Kelantan,2015,27,24
Kelantan,2015,28,11
Kelantan,2015,29,14
Kelantan,2015,30,30
Kelantan,2015,31,30
Kelantan,2015,32,33
Kelantan,2015,33,27
Kelantan,2015,34,31
Kelantan,2015,35,12
Kelantan,2015,36,13
Kelantan,2015,37,27
Kelantan,2015,38,19
Kelantan,2015,39,27
Kelantan,2015,40,23
Kelantan,2015,41,18
Kelantan,2015,42,19
Kelantan,2015,43,21
Kelantan,2015,44,31
Kelantan,2015,45,10
Kelantan,2015,46,29
Kelantan,2015,47,24
Kelantan,2015,48,20
Kelantan,2015,49,19
Kelantan,2015,50,35
Kelantan,2015,51,23
Kelantan,2015,52,23
Kelantan,2016,1,33
Kelantan,2016,2,24
Kelantan,2016,3,19
Kelantan,2016,4,28
Kelantan,2016,5,22
Kelantan,2016,6,20
Kelantan,2016,7,24
Kelantan,2016,8,34
Kelantan,2016,9,31
Kelantan,2016,10,27
Kelantan,2016,11,28
Kelantan,2016,12,20
Kelantan,2016,13,27
Kelantan,2016,14,31
Kelantan,2016,15,37
Kelantan,2016,16,30
Kelantan,2016,17,24
Kelantan,2016,18,25
Kelantan,2016,19,14
Kelantan,2016,20,22
Kelantan,2016,21,21
Kelantan,2016,22,30
Kelantan,2016,23,22
Kelantan,2016,24,21
Kelantan,2016,25,23
Kelantan,2016,26,19
Kelantan,2016,27,11
Kelantan,2016,28,26
Kelantan,2016,29,24
Kelantan,2016,30,26
Kelantan,2016,31,9
Kelantan,2016,32,37
Kelantan,2016,33,18
Kelantan,2016,34,26
Kelantan,2016,35,24
Kelantan,2016,36,26
Kelantan,2016,37,10
Kelantan,2016,38,30
Kelantan,2016,39,17
Kelantan,2016,40,25
Kelantan,2016,41,24
Kelantan,2016,42,22
Kelantan,2016,43,19
Kelantan,2016,44,24
Kelantan,2016,45,23
Kelantan,2016,46,27
Kelantan,2016,47,35
Kelantan,2016,48,17
Kelantan,2016,49,27
Kelantan,2016,50,12
Kelantan,2016,51,27
Kelantan,2016,52,32
Kelantan,2017,1,11
Kelantan,2017,2,24
Kelantan,2017,3,21
Kelantan,2017,4,16
Kelantan,2017,5,14
Kelantan,2017,6,27
Kelantan,2017,7,26
Kelantan,2017,8,22
Kelantan,2017,9,21
Kelantan,2017,10,19
Kelantan,2017,11,23
Kelantan,2017,12,17
Kelantan,2017,13,27
Kelantan,2017,14,27
Kelantan,2017,15,31
Kelantan,2017,16,32
Kelantan,2017,17,14
Kelantan,2017,18,26
Kelantan,2017,19,24
Kelantan,2017,20,23
Kelantan,2017,21,29
Kelantan,2017,22,22
Kelantan,2017,23,15
Kelantan,2017,24,17
Kelantan,2017,25,33
Kelantan,2017,26,12
Kelantan,2017,27,13
Kelantan,2017,28,24
Kelantan,2017,29,43
Kelantan,2017,30,35
Kelantan,2017,31,37
Kelantan,2017,32,17
Kelantan,2017,33,38
Kelantan,2017,34,26
Kelantan,2017,35,31
Kelantan,2017,36,27
Kelantan,2017,37,19
Kelantan,2017,38,20
Kelantan,2017,39,26
Kelantan,2017,40,40
Kelantan,2017,41,28
Kelantan,2017,42,27
Kelantan,2017,43,26
Kelantan,2017,44,35
Kelantan,2017,45,23
Kelantan,2017,46,25
Kelantan,2017,47,35
Kelantan,2017,48,22
Kelantan,2017,49,26
Kelantan,2017,50,23
Kelantan,2017,51,27
Kelantan,2017,52,34
Kuala Lumpur,2014,1,37
Kuala Lumpur,2014,2,25
Kuala Lumpur,2014,3,24
Kuala Lumpur,2014,4,26
Kuala Lumpur,2014,5,18
Kuala Lumpur,2014,6,17
Kuala Lumpur,2014,7,34
Kuala Lumpur,2014,8,57
Kuala Lumpur,2014,9,56
Kuala Lumpur,2014,10,31
Kuala Lumpur,2014,11,24
Kuala Lumpur,2014,12,46
Kuala Lumpur,2014,13,38
Kuala Lumpur,2014,14,30
Kuala Lumpur,2014,15,43
Kuala Lumpur,2014,16,22
Kuala Lumpur,2014,17,41
Kuala Lumpur,2014,18,35
Kuala Lumpur,2014,19,51
Kuala Lumpur,2014,20,36
Kuala Lumpur,2014,21,42
Kuala Lumpur,2014,22,27
Kuala Lumpur,2014,23,44
Kuala Lumpur,2014,24,30
Kuala Lumpur,2014,25,20
Kuala Lumpur,2014,26,34
Kuala Lumpur,2014,27,34
Kuala Lumpur,2014,28,44
Kuala Lumpur,2014,29,34
Kuala Lumpur,2014,30,34
Kuala Lumpur,2014,31,10
Kuala Lumpur,2014,32,26
Kuala Lumpur,2014,33,47
Kuala Lumpur,2014,34,38
Kuala Lumpur,2014,35,24
Kuala Lumpur,2014,36,35
Kuala Lumpur,2014,37,44
Kuala Lumpur,2014,38,36
Kuala Lumpur,2014,39,42
Kuala Lumpur,2014,40,28
Kuala Lumpur,2014,41,29
Kuala Lumpur,2014,42,36
Kuala Lumpur,2014,43,30
Kuala Lumpur,2014,44,26
Kuala Lumpur,2014,45,34
Kuala Lumpur,2014,46,28
Kuala Lumpur,2014,47,23
Kuala Lumpur,2014,48,29
